date,start_time,end_time,light_sleep_min,deep_sleep_min,rem_sleep_min,sleep_score,interruptions_min
2025-06-04,17:54:40,08:05:10,0.0,818.0,0.0,0,32.5
2025-06-05,17:14:20,09:44:20,0.0,951.0,0.0,0,39.0
2025-06-06,01:26:21,08:00:51,202.5,89.5,81.0,70,21.5
2025-06-07,01:12:26,08:29:56,251.0,77.5,93.0,87,16.0
2025-06-10,01:55:55,10:00:25,213.0,126.0,112.0,76,33.5
2025-06-14,01:47:27,09:57:57,233.5,122.0,103.5,78,31.5
2025-06-26,23:12:56,12:11:56,0.0,770.5,0.0,0,8.5
2025-06-27,17:03:26,00:40:56,0.0,453.0,0.0,0,4.5
